Ecuador,dark-dream,16038040889,b3f73588-9e92-4b29-a48e-651bde136ed7,Macetas,Macetas de vidrio,long-sun,2021-11-19,2001-08-11,true,10,10.99
Ecuador,dark-dream,16038040889,b3f73588-9e92-4b29-a48e-651bde136ed7,Sustrato,Tierra para macetas,wispy-dawn,2020-11-04,2001-08-11,true,12,5.49
Ecuador,dark-dream,16038040889,b3f73588-9e92-4b29-a48e-651bde136ed7,Sustrato,Tierra para macetas,rough-night,2021-06-23,2001-08-11,true,7,5.49
Ecuador,dark-dream,16038040889,b3f73588-9e92-4b29-a48e-651bde136ed7,Macetas,Macetas de madera,fragrant-silence,2021-11-01,2001-08-11,true,3,10.99
Unite Kingdom,rough-water,20383251909,e428c273-c9bd-4b66-8717-59ee731c45d1,Sustrato,Perlita,crimson-shape,2021-01-14,2010-01-17,true,12,5.49
Ecuador,holy-snowflake,16540642091,90848c49-210b-481c-a2d3-42e4dc739e6f,Herramientas,Gancho de raíz,solitary-meadow,2021-09-06,2012-10-30,true,6,8.75
Ecuador,holy-snowflake,16540642091,90848c49-210b-481c-a2d3-42e4dc739e6f,Sustrato,Akadama,snowy-leaf,2020-11-12,2012-10-30,true,28,5.49
Ecuador,white-lake,16859840067,1c44fb1c-f658-4010-b96a-e7466eaba8df,Sustrato,Vermiculita,wispy-smoke,2020-12-02,2005-04-12,true,28,5.49
Ecuador,white-lake,16859840067,1c44fb1c-f658-4010-b96a-e7466eaba8df,Macetas,Macetas de cerámica,autumn-star,1982-08-22,2005-04-12,true,4,439.6
Ecuador,white-lake,16859840067,1c44fb1c-f658-4010-b96a-e7466eaba8df,Macetas,Macetas de madera,wandering-mountain,2021-02-16,2005-04-12,true,1,10.99
Ecuador,white-lake,16859840067,1c44fb1c-f658-4010-b96a-e7466eaba8df,Herramientas,Gancho de raíz,cool-resonance,2021-01-11,2005-04-12,true,9,8.75
Ecuador,white-lake,16859840067,1c44fb1c-f658-4010-b96a-e7466eaba8df,Sustrato,Akadama,proud-bush,2020-03-13,2005-04-12,true,17,5.49
Colombia,shy-frost,17533833884,a9ac907b-287b-48c2-946f-48e10515d1a2,Herramientas,Sierra,wild-voice,2020-10-08,2018-02-15,true,1,8.75
Colombia,shy-frost,17533833884,a9ac907b-287b-48c2-946f-48e10515d1a2,Herramientas,Tijeras de podar,young-flower,2021-11-12,2018-02-15,true,1,8.75
Colombia,shy-frost,17533833884,a9ac907b-287b-48c2-946f-48e10515d1a2,Macetas,Macetas de vidrio,green-resonance,2021-03-19,2018-02-15,true,8,10.99
Colombia,snowy-star,17831331794,b3f402cf-2c37-4463-a7f5-6f52a2dc251a,Herramientas,Alicate,hidden-pine,2021-06-01,2009-03-28,true,7,8.75
Colombia,snowy-star,17831331794,b3f402cf-2c37-4463-a7f5-6f52a2dc251a,Herramientas,Cizallas de hoja larga,bold-dew,2021-04-20,2009-03-28,true,8,8.75
Unite Estates,long-silence,18159374980,3aec7721-d711-45a5-a6e8-364e585b1170,Herramientas,Pinzas de agarrar,still-voice,2020-02-12,2006-04-24,true,8,8.75
Unite Estates,long-silence,18159374980,3aec7721-d711-45a5-a6e8-364e585b1170,Herramientas,Gancho de raíz,weathered-bush,2021-09-29,2006-04-24,true,9,8.75
Unite Estates,long-silence,18159374980,3aec7721-d711-45a5-a6e8-364e585b1170,Bonsai,Yose-ue,proud-butterfly,1992-06-22,2006-04-24,true,5,329.7
Sweden,little-frog,19346131005,0212c6e1-08c2-442e-926d-55c0c2e67193,Sustrato,Sphagnum moss,blue-cloud,2021-06-01,2003-11-09,true,22,5.49
Sweden,little-frog,19346131005,0212c6e1-08c2-442e-926d-55c0c2e67193,Sustrato,Perlita,black-bush,2020-04-11,2003-11-09,true,9,5.49
Sweden,little-frog,19346131005,0212c6e1-08c2-442e-926d-55c0c2e67193,Herramientas,Sierra,crimson-feather,2021-09-16,2003-11-09,true,6,8.75
Unite Estates,shy-paper,18512569754,fbaa4c13-d249-4fde-bf62-cf606b38f92f,Macetas,Macetas de madera,white-darkness,2021-01-17,2004-11-07,true,7,10.99
Unite Estates,shy-paper,18512569754,fbaa4c13-d249-4fde-bf62-cf606b38f92f,Herramientas,Pinzas de agarrar,polished-sound,2020-05-08,2004-11-07,true,8,8.75
Unite Estates,shy-paper,18512569754,fbaa4c13-d249-4fde-bf62-cf606b38f92f,Herramientas,Tijeras de podar,summer-thunder,2021-08-26,2004-11-07,true,9,8.75
Unite Estates,shy-paper,18512569754,fbaa4c13-d249-4fde-bf62-cf606b38f92f,Macetas,Macetas de madera,blue-brook,2020-03-06,2004-11-07,true,10,10.99
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Macetas,Macetas de madera,patient-sun,2021-03-15,2015-03-12,true,6,10.99
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Herramientas,Cizallas de yunque,bold-lake,2020-07-29,2015-03-12,true,6,8.75
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Macetas,Macetas de plástico,proud-waterfall,2020-01-27,2015-03-12,true,10,10.99
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Sustrato,Sphagnum moss,damp-sun,2020-08-19,2015-03-12,true,28,5.49
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Macetas,Macetas de metal,wispy-sky,2021-04-18,2016-03-03,true,9,10.99
Sweden,bold-snow,19707823629,b4f3b904-2ab7-4407-b0b8-c6e3142da7f2,Sustrato,Kanuma,misty-tree,2021-03-09,2016-03-03,true,22,5.49
